"Module"	"Gene1"	"Gene2"
"M1"	"MAGEL2"	"RFC2"
"M1"	"MAGEL2"	"PRR5L"
"M1"	"MAGEL2"	"TAZ"
"M1"	"MAGEL2"	"EXOSC6"
"M1"	"MAGEL2"	"S100A13"
"M1"	"MAGEL2"	"TBCB"
"M1"	"MAGEL2"	"NR2C2AP"
"M1"	"MAGEL2"	"DNAJA3"
"M1"	"MAGEL2"	"CHMP3"
"M1"	"MAGEL2"	"RBPJ"
"M1"	"MAGEL2"	"USP22"
"M1"	"MAGEL2"	"HMGB3"
"M1"	"MAGEL2"	"KATNB1"
"M1"	"MAGEL2"	"TSG101"
"M1"	"MAGEL2"	"RAMP1"
"M1"	"MAGEL2"	"EPN1"
"M1"	"MAGEL2"	"IGFALS"
"M1"	"MAGEL2"	"DDIT4L"
"M1"	"MAGEL2"	"CRIPT"
"M1"	"MAGEL2"	"SALL4"
"M1"	"MAGEL2"	"PTP4A1"
"M1"	"MAGEL2"	"PRC1"
"M1"	"MAGEL2"	"SMAD2"
"M1"	"MAGEL2"	"SUMO3"
"M1"	"MAGEL2"	"ABR"
"M1"	"MAGEL2"	"NOP2"
"M1"	"MAGEL2"	"ZNF496"
"M1"	"MAGEL2"	"NME5"
"M1"	"MAGEL2"	"HMGB1"
"M1"	"MAGEL2"	"GPS2"
"M1"	"MAGEL2"	"ATP6V1G2"
"M1"	"MAGEL2"	"TLK2"
"M1"	"MAGEL2"	"NEUROD2"
"M1"	"MAGEL2"	"RNF14"
"M1"	"MAGEL2"	"CEP76"
"M1"	"MAGEL2"	"AP3S2"
"M1"	"MAGEL2"	"VPS8"
"M1"	"GCHFR"	"NFE2"
"M1"	"SEMG2"	"NAV3"
"M1"	"LYPD6B"	"AQP9"
"M1"	"F5"	"GBAS"
"M1"	"F5"	"PPP6C"
"M1"	"F5"	"RCC1"
"M1"	"F5"	"MX1"
"M1"	"F5"	"AKAP11"
"M1"	"F5"	"APEH"
"M1"	"F5"	"FANCB"
"M1"	"F5"	"SSTR1"
"M1"	"F5"	"MRPL17"
"M1"	"F5"	"KIT"
"M1"	"F5"	"HIST1H3B"
"M1"	"F5"	"NEGR1"
"M1"	"F5"	"PER3"
"M1"	"F5"	"RGL2"
"M1"	"F5"	"SCLT1"
"M1"	"F5"	"NR2C2AP"
"M1"	"F5"	"TAF12"
"M1"	"F5"	"EDN1"
"M1"	"F5"	"SLC3A2"
"M1"	"F5"	"DTX3"
"M1"	"F5"	"PPAP2B"
"M1"	"F5"	"ALDH2"
"M1"	"F5"	"CRY1"
"M1"	"F5"	"FABP1"
"M1"	"F5"	"SPATA13"
"M1"	"F5"	"ADRB2"
"M1"	"F5"	"TLE4"
"M1"	"F5"	"KLHDC9"
"M1"	"F5"	"PTP4A1"
"M1"	"F5"	"MAP2K4"
"M1"	"F5"	"TOE1"
"M1"	"F5"	"EPHA5"
"M1"	"F5"	"IP6K2"
"M1"	"F5"	"GNL1"
"M1"	"F5"	"PDCD4"
